日期,景氣對策信號(分)
1984-12,21
1985-01,16
1985-02,19
1985-03,14
1985-04,14
1985-05,14
1985-06,12
1985-07,12
1985-08,13
1985-09,14
1985-10,15
1985-11,15
1985-12,22
1986-01,21
1986-02,19
1986-03,33
1986-04,28
1986-05,29
1986-06,37
1986-07,34
1986-08,39
1986-09,36
1986-10,36
1986-11,38
1986-12,37
1987-01,36
1987-02,40
1987-03,32
1987-04,41
1987-05,39
1987-06,38
1987-07,34
1987-08,36
1987-09,37
1987-10,31
1987-11,35
1987-12,32
1988-01,29
1988-02,33
1988-03,28
1988-04,27
1988-05,31
1988-06,30
1988-07,30
1988-08,31
1988-09,28
1988-10,29
1988-11,33
1988-12,32
1989-01,36
1989-02,34
1989-03,40
1989-04,39
1989-05,34
1989-06,30
1989-07,32
1989-08,27
1989-09,24
1989-10,25
1989-11,24
1989-12,25
1990-01,23
1990-02,27
1990-03,21
1990-04,20
1990-05,17
1990-06,14
1990-07,17
1990-08,17
1990-09,18
1990-10,21
1990-11,20
1990-12,15
1991-01,20
1991-02,19
1991-03,19
1991-04,20
1991-05,23
1991-06,24
1991-07,29
1991-08,27
1991-09,27
1991-10,30
1991-11,30
1991-12,28
1992-01,29
1992-02,29
1992-03,28
1992-04,28
1992-05,24
1992-06,25
1992-07,25
1992-08,25
1992-09,22
1992-10,25
1992-11,21
1992-12,24
1993-01,19
1993-02,23
1993-03,24
1993-04,20
1993-05,20
1993-06,17
1993-07,21
1993-08,22
1993-09,23
1993-10,24
1993-11,21
1993-12,27
1994-01,32
1994-02,29
1994-03,26
1994-04,30
1994-05,30
1994-06,32
1994-07,30
1994-08,33
1994-09,34
1994-10,36
1994-11,39
1994-12,31
1995-01,30
1995-02,34
1995-03,30
1995-04,29
1995-05,28
1995-06,25
1995-07,23
1995-08,21
1995-09,22
1995-10,15
1995-11,13
1995-12,16
1996-01,18
1996-02,18
1996-03,13
1996-04,21
1996-05,15
1996-06,17
1996-07,19
1996-08,20
1996-09,24
1996-10,22
1996-11,26
1996-12,28
1997-01,26
1997-02,24
1997-03,31
1997-04,24
1997-05,24
1997-06,28
1997-07,30
1997-08,26
1997-09,31
1997-10,26
1997-11,28
1997-12,29
1998-01,23
1998-02,27
1998-03,25
1998-04,20
1998-05,19
1998-06,20
1998-07,16
1998-08,22
1998-09,18
1998-10,16
1998-11,19
1998-12,14
1999-01,18
1999-02,17
1999-03,16
1999-04,20
1999-05,22
1999-06,25
1999-07,24
1999-08,23
1999-09,19
1999-10,26
1999-11,26
1999-12,28
2000-01,32
2000-02,30
2000-03,29
2000-04,28
2000-05,29
2000-06,27
2000-07,26
2000-08,28
2000-09,28
2000-10,23
2000-11,17
2000-12,16
2001-01,10
2001-02,10
2001-03,10
2001-04,9
2001-05,9
2001-06,9
2001-07,9
2001-08,11
2001-09,9
2001-10,9
2001-11,10
2001-12,15
2002-01,15
2002-02,15
2002-03,20
2002-04,26
2002-05,25
2002-06,25
2002-07,29
2002-08,24
2002-09,29
2002-10,23
2002-11,26
2002-12,24
2003-01,20
2003-02,22
2003-03,17
2003-04,14
2003-05,14
2003-06,20
2003-07,24
2003-08,26
2003-09,29
2003-10,31
2003-11,30
2003-12,34
2004-01,35
2004-02,34
2004-03,36
2004-04,37
2004-05,39
2004-06,36
2004-07,35
2004-08,33
2004-09,32
2004-10,29
2004-11,28
2004-12,26
2005-01,23
2005-02,23
2005-03,22
2005-04,20
2005-05,18
2005-06,20
2005-07,19
2005-08,23
2005-09,23
2005-10,24
2005-11,24
2005-12,27
2006-01,28
2006-02,28
2006-03,23
2006-04,23
2006-05,24
2006-06,21
2006-07,21
2006-08,22
2006-09,22
2006-10,20
2006-11,21
2006-12,16
2007-01,18
2007-02,19
2007-03,23
2007-04,18
2007-05,20
2007-06,25
2007-07,30
2007-08,30
2007-09,32
2007-10,32
2007-11,28
2007-12,29
2008-01,29
2008-02,27
2008-03,26
2008-04,27
2008-05,22
2008-06,20
2008-07,16
2008-08,18
2008-09,12
2008-10,12
2008-11,11
2008-12,9
2009-01,9
2009-02,10
2009-03,10
2009-04,11
2009-05,12
2009-06,17
2009-07,18
2009-08,18
2009-09,20
2009-10,26
2009-11,37
2009-12,37
2010-01,38
2010-02,38
2010-03,39
2010-04,39
2010-05,37
2010-06,37
2010-07,38
2010-08,38
2010-09,37
2010-10,34
2010-11,32
2010-12,34
2011-01,34
2011-02,34
2011-03,31
2011-04,29
2011-05,27
2011-06,25
2011-07,23
2011-08,20
2011-09,21
2011-10,19
2011-11,16
2011-12,14
2012-01,13
2012-02,15
2012-03,14
2012-04,14
2012-05,15
2012-06,15
2012-07,16
2012-08,15
2012-09,20
2012-10,19
2012-11,21
2012-12,22
2013-01,19
2013-02,20
2013-03,18
2013-04,17
2013-05,19
2013-06,23
2013-07,20
2013-08,20
2013-09,20
2013-10,21
2013-11,21
2013-12,24
2014-01,22
2014-02,25
2014-03,25
2014-04,29
2014-05,24
2014-06,26
2014-07,27
2014-08,29
2014-09,27
2014-10,24
2014-11,25
2014-12,22
2015-01,23
2015-02,24
2015-03,22
2015-04,16
2015-05,18
2015-06,16
2015-07,14
2015-08,14
2015-09,14
2015-10,15
2015-11,15
2015-12,14
2016-01,14
2016-02,16
2016-03,16
2016-04,17
2016-05,20
2016-06,20
2016-07,23
2016-08,25
2016-09,23
2016-10,24
2016-11,26
2016-12,28
2017-01,29
2017-02,28
2017-03,24
2017-04,21
2017-05,20
2017-06,22
2017-07,22
2017-08,25
2017-09,28
2017-10,23
2017-11,23
2017-12,22
2018-01,20
2018-02,24
2018-03,23
2018-04,26
2018-05,29
2018-06,22
2018-07,26
2018-08,24
2018-09,22
2018-10,22
2018-11,17
2018-12,16
2019-01,20
2019-02,17
2019-03,20
2019-04,21
2019-05,18
2019-06,21
2019-07,22
2019-08,20
2019-09,19
2019-10,19
2019-11,24
2019-12,27
2020-01,25
2020-02,24
2020-03,20
2020-04,19
2020-05,19
2020-06,19
2020-07,21
2020-08,26
2020-09,27
2020-10,28
2020-11,30
2020-12,34
2021-01,37
2021-02,40
2021-03,40
2021-04,41
2021-05,41
2021-06,40
2021-07,38
2021-08,39
2021-09,38
2021-10,39
2021-11,37
2021-12,38
2022-01,36
2022-02,34
2022-03,31
2022-04,28
2022-05,28
2022-06,27
2022-07,24
2022-08,23
2022-09,17
2022-10,18
2022-11,12
2022-12,12
2023-01,11
2023-02,10
2023-03,11
2023-04,11
2023-05,12
2023-06,13
2023-07,15
2023-08,15
2023-09,17
2023-10,16
2023-11,20
2023-12,22
2024-01,27
2024-02,29
2024-03,31
2024-04,35
2024-05,36
2024-06,38
2024-07,35
2024-08,39
2024-09,34
2024-10,32
2024-11,34
2024-12,38
2025-01,35
2025-02,37
2025-03,35
2025-04,33
2025-05,31
2025-06,29
2025-07,29
2025-08,31
2025-09,34
2025-10,35
2025-11,37

